YEAR_,STARTDATED,CONTRDATED,STATE,DLATITUDE,DLONGITUDE,TOTALACRES
2005,3/10/2005,3/10/2005,North Carolina,35.63139000000,-75.47167000000,1.00000000000
2005,3/11/2005,3/11/2005,South Carolina,34.41916667000,-81.57805556000,0.25000000000
2005,3/11/2005,3/11/2005,North Carolina,35.22833333000,-82.88444444000,0.60000000000
2005,3/11/2005,3/11/2005,North Carolina,35.23027778000,-82.88361111000,0.70000000000
2005,3/11/2005,3/11/2005,North Carolina,35.00138889000,-83.38416667000,10.00000000000
2005,3/12/2005,3/12/2005,North Carolina,35.25000000000,-82.01666667000,0.50000000000
2005,3/12/2005,3/13/2005,South Carolina,33.21500000000,-79.91777778000,1.14000000000
2005,3/12/2005,3/12/2005,North Carolina,35.42972222000,-80.04750000000,2.00000000000
2005,3/12/2005,3/12/2005,North Carolina,35.04666667000,-77.04833333000,4.00000000000
2005,3/12/2005,3/16/2005,South Carolina,33.21277778000,-79.91750000000,5.28000000000
2005,3/12/2005,3/12/2005,South Carolina,33.32111111000,-81.79444444000,7.00000000000
2005,3/12/2005,3/12/2005,Tennessee,35.08833333000,-84.39166667000,7.00000000000
2005,3/12/2005,3/12/2005,Tennessee,35.43220000000,-87.47640000000,15.00000000000
2005,3/12/2005,3/12/2005,Tennessee,35.43360000000,-87.47580000000,15.00000000000
2005,3/12/2005,3/12/2005,South Carolina,32.24056000000,-81.00722000000,25.00000000000
2005,3/12/2005,3/12/2005,Tennessee,35.22916667000,-84.30222222000,46.00000000000
2005,3/12/2005,3/12/2005,South Carolina,32.19972000000,-80.92750000000,50.00000000000
2005,3/12/2005,3/12/2005,South Carolina,32.17585000000,-81.04012000000,50.00000000000
2005,3/12/2005,3/12/2005,South Carolina,32.60500000000,-81.14444000000,60.00000000000
2005,3/12/2005,3/12/2005,Tennessee,35.25333333000,-84.28777778000,82.50000000000
2005,3/13/2005,3/13/2005,North Carolina,35.34138889000,-83.57750000000,0.50000000000
2005,3/13/2005,3/13/2005,South Carolina,32.22944000000,-81.04639000000,0.50000000000
2005,3/13/2005,3/13/2005,South Carolina,32.22333000000,-81.02889000000,3.00000000000
2005,3/13/2005,3/13/2005,Tennessee,35.27916667000,-84.53055556000,40.00000000000
2005,3/14/2005,5/16/2005,South Carolina,33.35000000000,-79.88333333000,12.00000000000
2005,3/15/2005,3/15/2005,North Carolina,35.25166667000,-83.30055556000,0.10000000000
2005,3/15/2005,3/15/2005,North Carolina,34.78277778000,-77.07305556000,4.00000000000
2005,3/16/2005,3/16/2005,North Carolina,35.86583000000,-75.83639000000,0.50000000000
2005,3/19/2005,3/28/2005,Virginia,38.55777778000,-79.07166667000,293.00000000000
2005,3/21/2005,3/21/2005,North Carolina,35.11694444000,-84.02222222000,0.50000000000
2005,3/21/2005,3/21/2005,North Carolina,35.08555556000,-83.21722222000,1.50000000000
2005,3/22/2005,3/22/2005,Tennessee,36.46638889000,-82.01000000000,1.50000000000
2005,3/26/2005,3/26/2005,Tennessee,35.16833333000,-84.31805556000,0.50000000000
2005,3/26/2005,3/26/2005,Tennessee,35.16805556000,-84.30250000000,7.00000000000
2005,3/26/2005,3/26/2005,North Carolina,35.02972222000,-83.61444444000,25.00000000000
2005,3/26/2005,3/27/2005,Tennessee,35.21722222000,-84.38444444000,25.00000000000
2005,3/27/2005,3/27/2005,Tennessee,35.32166667000,-84.31305556000,0.25000000000
2005,3/27/2005,3/27/2005,Tennessee,35.32361111000,-84.30916667000,0.50000000000
2005,3/27/2005,3/27/2005,Tennessee,35.32000000000,-84.31333333000,1.00000000000
2005,3/27/2005,3/27/2005,Tennessee,35.28777778000,-84.19388889000,2.00000000000
2005,3/29/2005,3/30/2005,North Carolina,35.41666667000,-80.05000000000,38.00000000000
2005,3/30/2005,3/30/2005,Tennessee,35.19138889000,-84.33361111000,0.10000000000
2005,3/30/2005,3/30/2005,Virginia,38.30000000000,-79.38333333000,1.00000000000
2005,3/30/2005,3/30/2005,Tennessee,35.19138889000,-84.34055556000,5.00000000000
2005,3/30/2005,3/31/2005,Tennessee,36.23250000000,-82.27666667000,25.00000000000
2005,4/3/2005,4/4/2005,Virginia,38.74138889000,-79.02944444000,11.10000000000
2005,4/3/2005,4/3/2005,North Carolina,35.30472222000,-82.69166667000,50.00000000000
2005,4/4/2005,4/4/2005,North Carolina,35.15138889000,-83.07666667000,1.00000000000
2005,4/4/2005,4/5/2005,Virginia,37.26666667000,-80.46666667000,2.00000000000
2005,4/4/2005,4/4/2005,South Carolina,34.99416667000,-83.09166667000,3.00000000000
2005,4/5/2005,4/5/2005,North Carolina,35.15472222000,-84.08694444000,2.00000000000
2005,4/5/2005,4/5/2005,North Carolina,35.43416667000,-83.50305556000,5.00000000000
2005,4/5/2005,4/6/2005,South Carolina,34.49917000000,-80.23111000000,6.00000000000
2005,4/5/2005,4/5/2005,South Carolina,33.35861111000,-81.74472222000,12.00000000000
2005,4/6/2005,4/6/2005,Tennessee,36.25333333000,-82.19194444000,1.00000000000
2005,4/6/2005,4/6/2005,Tennessee,35.28750000000,-84.42083333000,2.00000000000
2005,4/7/2005,4/7/2005,South Carolina,32.94444444000,-79.67972222000,3.20000000000
2005,4/8/2005,4/8/2005,Tennessee,35.19138889000,-84.34055556000,0.10000000000
2005,4/9/2005,4/9/2005,Virginia,36.85472222000,-82.44777778000,0.10000000000
2005,4/9/2005,4/9/2005,North Carolina,35.46166667000,-80.08166667000,0.30000000000
2005,4/9/2005,4/9/2005,Tennessee,36.60111111000,-84.71777778000,2.00000000000
2005,4/10/2005,4/10/2005,Tennessee,35.19277778000,-84.34611111000,0.60000000000
2005,4/10/2005,4/11/2005,Virginia,37.64583333000,-80.15027778000,32.00000000000
2005,4/11/2005,4/11/2005,Virginia,38.55530000000,-77.34940000000,0.50000000000
2005,4/12/2005,4/13/2005,South Carolina,33.30027778000,-79.81638889000,4.40000000000
2005,4/15/2005,4/15/2005,North Carolina,35.07500000000,-83.85333333000,1.00000000000
2005,4/15/2005,4/16/2005,North Carolina,35.09944444000,-84.04166667000,3.00000000000
2005,4/16/2005,4/16/2005,Tennessee,35.13166667000,-84.53666667000,0.10000000000
2005,4/16/2005,4/16/2005,North Carolina,35.14055556000,-83.01861111000,1.00000000000
2005,4/16/2005,4/17/2005,South Carolina,33.82943100000,-80.68184200000,2.90000000000
2005,4/16/2005,4/16/2005,North Carolina,35.98500000000,-81.85166667000,25.00000000000
2005,4/16/2005,4/16/2005,Tennessee,36.12500000000,-82.39166667000,25.30000000000
2005,4/17/2005,4/18/2005,Virginia,38.66460000000,-78.29580000000,0.30000000000
2005,4/17/2005,4/17/2005,Tennessee,35.02250000000,-84.34833333000,1.00000000000
2005,4/17/2005,4/17/2005,North Carolina,35.31194444000,-83.81972222000,2.00000000000
2005,4/17/2005,4/17/2005,Tennessee,36.54750000000,-81.99083333000,2.00000000000
2005,4/17/2005,4/17/2005,Virginia,37.08333333000,-81.21666667000,3.00000000000
2005,4/17/2005,4/18/2005,Virginia,37.83194444000,-80.09388889000,5.00000000000
2005,4/18/2005,4/18/2005,North Carolina,35.26900000000,-83.88210000000,0.30000000000
2005,4/18/2005,4/18/2005,North Carolina,35.28000000000,-83.87611111000,2.00000000000
2005,4/19/2005,4/19/2005,North Carolina,34.78333333000,-76.90000000000,1.00000000000
2005,4/19/2005,4/19/2005,Tennessee,36.21777778000,-82.00083333000,6.00000000000
2005,4/20/2005,4/20/2005,North Carolina,35.30000000000,-79.96666667000,0.25000000000
2005,4/20/2005,4/20/2005,North Carolina,35.03055556000,-83.20194444000,1.00000000000
2005,4/20/2005,4/21/2005,North Carolina,35.73694444000,-83.04972222000,18.00000000000
2005,4/20/2005,4/21/2005,North Carolina,35.73777778000,-83.04472222000,18.00000000000
2005,4/20/2005,4/21/2005,North Carolina,35.73861111000,-83.04055556000,60.00000000000
2005,4/20/2005,4/20/2005,Tennessee,35.19916667000,-84.39250000000,65.00000000000
2005,4/20/2005,4/21/2005,North Carolina,35.72611111000,-83.02694444000,72.00000000000
2005,4/20/2005,4/21/2005,North Carolina,35.73750000000,-83.04916667000,75.00000000000
2005,4/21/2005,4/21/2005,North Carolina,35.48320000000,-83.26430000000,2.00000000000
2005,4/21/2005,4/22/2005,South Carolina,33.58416667000,-82.06777778000,5.40000000000
2005,4/21/2005,4/21/2005,South Carolina,34.81777778000,-83.08444444000,10.00000000000
2005,4/22/2005,4/22/2005,North Carolina,34.70916667000,-77.01277778000,5.00000000000
2005,4/23/2005,4/23/2005,North Carolina,34.93722222000,-77.09861111000,6.00000000000
2005,4/25/2005,4/25/2005,Tennessee,35.10333333000,-84.63416667000,0.25000000000
2005,4/25/2005,4/27/2005,South Carolina,33.32361111000,-79.88888889000,53.10000000000
2005,5/3/2005,5/5/2005,South Carolina,33.17805556000,-79.76750000000,7.30000000000
2005,5/3/2005,5/4/2005,North Carolina,35.45583333000,-80.07722222000,28.00000000000
2005,5/5/2005,5/5/2005,North Carolina,34.93222000000,-76.37500000000,1.00000000000
2005,5/9/2005,5/9/2005,North Carolina,35.05888889000,-83.16083333000,1.00000000000
2005,5/9/2005,5/9/2005,North Carolina,35.90000000000,-81.68333333000,3.00000000000
2005,5/9/2005,5/10/2005,Virginia,37.45000000000,-80.51666667000,5.00000000000
2005,5/9/2005,5/9/2005,North Carolina,36.03500000000,-81.58500000000,10.00000000000
2005,5/9/2005,5/10/2005,North Carolina,35.76444444000,-82.99916667000,12.00000000000
